mois,nb_chomeur
1996-01-01,3121000
1996-02-01,3133600
1996-03-01,3135000
1996-04-01,3136000
1996-05-01,3149100
1996-06-01,3134300
1996-07-01,3135800
1996-08-01,3128100
1996-09-01,3161300
1996-10-01,3152100
1996-11-01,3171400
1996-12-01,3176500
1997-01-01,3195600
1997-02-01,3181600
1997-03-01,3182400
1997-04-01,3178700
1997-05-01,3191500
1997-06-01,3190100
1997-07-01,3173300
1997-08-01,3137300
1997-09-01,3166100
1997-10-01,3164000
1997-11-01,3152100
1997-12-01,3131800
1998-01-01,3133300
1998-02-01,3122700
1998-03-01,3113000
1998-04-01,3109600
1998-05-01,3098000
1998-06-01,3079800
1998-07-01,3084000
1998-08-01,3069700
1998-09-01,3083200
1998-10-01,3083600
1998-11-01,3086700
1998-12-01,3079000
1999-01-01,3076100
1999-02-01,3070900
1999-03-01,3071300
1999-04-01,3055700
1999-05-01,3037100
1999-06-01,3026800
1999-07-01,2965900
1999-08-01,2948000
1999-09-01,2898600
1999-10-01,2876200
1999-11-01,2848700
1999-12-01,2820400
2000-01-01,2802700
2000-02-01,2774800
2000-03-01,2737100
2000-04-01,2697700
2000-05-01,2675800
2000-06-01,2644300
2000-07-01,2619900
2000-08-01,2609500
2000-09-01,2549200
2000-10-01,2505500
2000-11-01,2450800
2000-12-01,2437400
2001-01-01,2394800
2001-02-01,2381500
2001-03-01,2364900
2001-04-01,2358400
2001-05-01,2364700
2001-06-01,2364200
2001-07-01,2391600
2001-08-01,2398900
2001-09-01,2405400
2001-10-01,2434700
2001-11-01,2463800
2001-12-01,2473600
2002-01-01,2475900
2002-02-01,2485800
2002-03-01,2501400
2002-04-01,2518300
2002-05-01,2524500
2002-06-01,2529400
2002-07-01,2556400
2002-08-01,2552000
2002-09-01,2548600
2002-10-01,2554800
2002-11-01,2573800
2002-12-01,2587600
2003-01-01,2611900
2003-02-01,2629200
2003-03-01,2641600
2003-04-01,2647300
2003-05-01,2644900
2003-06-01,2661000
2003-07-01,2675600
2003-08-01,2666600
2003-09-01,2716000
2003-10-01,2719500
2003-11-01,2705300
2003-12-01,2717100
2004-01-01,2687900
2004-02-01,2674400
2004-03-01,2667900
2004-04-01,2663600
2004-05-01,2670600
2004-06-01,2676700
2004-07-01,2683300
2004-08-01,2699500
2004-09-01,2697000
2004-10-01,2690300
2004-11-01,2705700
2004-12-01,2705900
2005-01-01,2708300
2005-02-01,2707200
2005-03-01,2708300
2005-04-01,2706200
2005-05-01,2707200
2005-06-01,2688400
2005-07-01,2664800
2005-08-01,2654700
2005-09-01,2632100
2005-10-01,2609900
2005-11-01,2587000
2005-12-01,2567000
2006-01-01,2550600
2006-02-01,2530100
2006-03-01,2501700
2006-04-01,2460300
2006-05-01,2422700
2006-06-01,2398700
2006-07-01,2363000
2006-08-01,2354500
2006-09-01,2322300
2006-10-01,2314700
2006-11-01,2288400
2006-12-01,2265000
2007-01-01,2232600
2007-02-01,2202100
2007-03-01,2172400
2007-04-01,2152800
2007-05-01,2139900
2007-06-01,2119700
2007-07-01,2117500
2007-08-01,2100400
2007-09-01,2092200
2007-10-01,2062600
2007-11-01,2035900
2007-12-01,2015800
2008-01-01,2003200
2008-02-01,1979900
2008-03-01,1985000
2008-04-01,1997300
2008-05-01,1998300
2008-06-01,2017600
2008-07-01,2033600
2008-08-01,2040800
2008-09-01,2075200
2008-10-01,2107200
2008-11-01,2163300
2008-12-01,2219300
2009-01-01,2282400
2009-02-01,2356800
2009-03-01,2422900
2009-04-01,2481800
2009-05-01,2516200
2009-06-01,2519700
2009-07-01,2545300
2009-08-01,2577300
2009-09-01,2601700
2009-10-01,2637800
2009-11-01,2646400
2009-12-01,2638000
2010-01-01,2660600
2010-02-01,2665600
2010-03-01,2666200
2010-04-01,2681900
2010-05-01,2689200
2010-06-01,2687200
2010-07-01,2679900
2010-08-01,2698300
2010-09-01,2696600
2010-10-01,2675100
2010-11-01,2689800
2010-12-01,2702300
2011-01-01,2695700
2011-02-01,2706200
2011-03-01,2692300
2011-04-01,2693600
2011-05-01,2703900
2011-06-01,2732500
2011-07-01,2749100
2011-08-01,2763500
2011-09-01,2775500
2011-10-01,2796200
2011-11-01,2819600
2011-12-01,2848600
2012-01-01,2867100
2012-02-01,2878900
2012-03-01,2885800
2012-04-01,2894800
2012-05-01,2923200
2012-06-01,2943200
2012-07-01,2983100
2012-08-01,3020800
2012-09-01,3052800
2012-10-01,3094400
2012-11-01,3119900
2012-12-01,3133200
2013-01-01,3181100
2013-02-01,3192300
2013-03-01,3213400
2013-04-01,3254300
2013-05-01,3253700
2013-06-01,3265500
2013-07-01,3279100
2013-08-01,3246600
2013-09-01,3297200
2013-10-01,3279400
2013-11-01,3298700
2013-12-01,3311700
2014-01-01,3321900
2014-02-01,3341700
2014-03-01,3346400
2014-04-01,3364900
2014-05-01,3383700
2014-06-01,3395300
2014-07-01,3416800
2014-08-01,3415000
2014-09-01,3441900
2014-10-01,3461400
2014-11-01,3486400
2014-12-01,3500700
2015-01-01,3481600
2015-02-01,3494400
2015-03-01,3509800
2015-04-01,3536000
2015-05-01,3552200
2015-06-01,3553500
2015-07-01,3551600
2015-08-01,3571600
