annee,trimestre,millier,taux
2015,2,2852,10
2015,1,2853,10
2014,4,2898,10.1
2014,3,2867,10
2014,2,2790,9.7
2014,1,2795,9.8
2013,4,2771,9.7
2013,3,2842,9.9
2013,2,2853,10
2013,1,2834,9.9
2012,4,2782,9.7
2012,3,2680,9.4
2012,2,2648,9.3
2012,1,2582,9.1
2011,4,2548,9
2011,3,2498,8.8
2011,2,2448,8.7
2011,1,2465,8.7
2010,4,2489,8.8
2010,3,2494,8.8
2010,2,2501,8.9
2010,1,2534,9
2009,4,2585,9.2
2009,3,2473,8.8
2009,2,2481,8.8
2009,1,2299,8.2
2008,4,2077,7.4
2008,3,1979,7.1
2008,2,1937,7
2008,1,1886,6.8
2007,4,1989,7.2
2007,3,2119,7.6
2007,2,2154,7.8
2007,1,2232,8.1
2006,4,2210,8
2006,3,2338,8.5
2006,2,2345,8.6
2006,1,2396,8.7
2005,4,2380,8.7
2005,3,2347,8.6
2005,2,2302,8.4
2005,1,2255,8.3
2004,4,2325,8.5
2004,3,2295,8.5
2004,2,2261,8.4
2004,1,2316,8.6
2003,4,2269,8.4
2003,3,2158,8
2003,2,2184,8.1
2003,1,2140,8
2002,4,2045,7.6
2002,3,2017,7.5
2002,2,1998,7.5
2002,1,1984,7.5
2001,4,1974,7.5
2001,3,1944,7.4
2001,2,1933,7.3
2001,1,1958,7.4
2000,4,2017,7.7
2000,3,2091,8
2000,2,2169,8.3
2000,1,2265,8.7
1999,4,2363,9.1
1999,3,2461,9.5
1999,2,2537,9.8
1999,1,2547,9.9
1998,4,2528,9.8
1998,3,2517,9.8
1998,2,2534,9.9
1998,1,2558,10
1997,4,2596,10.2
1997,3,2627,10.3
1997,2,2646,10.4
1997,1,2644,10.3
1996,4,2620,10.2
1996,3,2615,10.2
1996,2,2611,10.2
1996,1,2541,9.9
1995,4,2441,9.6
1995,3,2404,9.5
1995,2,2441,9.7
1995,1,2488,9.9
1994,4,2525,10
1994,3,2583,10.3
1994,2,2622,10.4
1994,1,2598,10.3
1993,4,2538,10.1
1993,3,2467,9.8
1993,2,2386,9.5
1993,1,2301,9.2
1992,4,2237,8.9
1992,3,2190,8.8
1992,2,2135,8.6
1992,1,2080,8.3
1991,4,2014,8.1
1991,3,1960,7.9
1991,2,1896,7.7
1991,1,1861,7.5
1990,4,1873,7.6
1990,3,1885,7.6
1990,2,1897,7.6
1990,1,1906,7.7
1989,4,1912,7.7
1989,3,1931,7.8
1989,2,1951,7.9
1989,1,1985,8
1988,4,2033,8.2
1988,3,2079,8.4
1988,2,2077,8.4
1988,1,2109,8.6
1987,4,2127,8.6
1987,3,2142,8.7
1987,2,2166,8.8
1987,1,2160,8.8
1986,4,2136,8.7
1986,3,2125,8.6
1986,2,2109,8.6
1986,1,2074,8.5
1985,4,2086,8.5
1985,3,2090,8.6
1985,2,2069,8.5
1985,1,2072,8.5
1984,4,2036,8.4
1984,3,1987,8.2
1984,2,1933,8
1984,1,1842,7.6
1983,4,1737,7.2
1983,3,1666,6.9
1983,2,1623,6.7
1983,1,1614,6.7
1982,4,1623,6.7
1982,3,1607,6.7
1982,2,1567,6.5
1982,1,1538,6.4
1981,4,1525,6.4
1981,3,1487,6.2
1981,2,1424,5.9
1981,1,1349,5.6
1980,4,1272,5.3
1980,3,1216,5.1
1980,2,1197,5
1980,1,1190,5
1979,4,1173,4.9
1979,3,1150,4.9
1979,2,1119,4.7
1979,1,1089,4.6
1978,4,1068,4.6
1978,3,1019,4.4
1978,2,950,4.1
1978,1,937,4
1977,4,976,4.2
1977,3,996,4.3
1977,2,950,4.1
1977,1,872,3.8
1976,4,830,3.6
1976,3,835,3.6
1976,2,840,3.7
1976,1,822,3.6
1975,4,812,3.6
1975,3,790,3.5
1975,2,718,3.2
1975,1,644,2.9
